severity_label,info,area_ha
High,322-Moors and heathland,6808.751794046028
High,324-Transitional woodland shrub,1805.6055067109455
High,311-Broad-leaved forest,1763.9304006203133
Low,322-Moors and heathland,2465.189881611431
Low,312-Coniferous forest,292.172702069264
Low,324-Transitional woodland shrub,247.42618944494086
Moderate-High,322-Moors and heathland,3849.594778740248
Moderate-High,311-Broad-leaved forest,573.6463560264768
Moderate-High,324-Transitional woodland shrub,525.663761875726
Moderate-Low,322-Moors and heathland,2791.397632871673
Moderate-Low,324-Transitional woodland shrub,339.19924970303714
Moderate-Low,312-Coniferous forest,320.28370022608215
Unburned,322-Moors and heathland,3819.231549276528
Unburned,312-Coniferous forest,435.7517354771572
Unburned,324-Transitional woodland shrub,287.23853857558674
