severity_label,info,area_ha
High,322-Moors and heathland,295.6989686921943
High,311-Broad-leaved forest,179.23797186906444
High,324-Transitional woodland shrub,133.9553877591626
Low,322-Moors and heathland,1571.5359288449934
Low,312-Coniferous forest,392.16271112132915
Low,311-Broad-leaved forest,263.19773761264753
Moderate-High,322-Moors and heathland,8251.675413004043
Moderate-High,324-Transitional woodland shrub,1858.0361838989468
Moderate-High,312-Coniferous forest,1531.980118326472
Moderate-Low,322-Moors and heathland,9526.593310283859
Moderate-Low,312-Coniferous forest,1121.8680835122552
Moderate-Low,311-Broad-leaved forest,1024.2547447750783
Unburned,322-Moors and heathland,88.66201572078626
Unburned,998-Other,78.38506945345314
Unburned,311-Broad-leaved forest,17.86492637413693
